,Relative CATE Error (percentage),Method,#Units,Mean Relative CATE Error (percentage)
0,52.87071331423658,MALTS,256,52.87071331423658
1,82.50470320618139,BART,256,82.50470320618139
2,102.41669966585421,Causal Forest,256,102.41669966585421
3,246.46210101369786,Propensity Score,256,246.46210101369786
4,129.85611525085977,Prognostic Score,256,129.85611525085977
5,50.10478116923854,MALTS,512,50.10478116923854
6,83.330199004977,BART,512,83.330199004977
7,93.9449548886234,Causal Forest,512,93.9449548886234
8,309.8615436492778,Propensity Score,512,309.8615436492778
9,146.4382822356518,Prognostic Score,512,146.4382822356518
10,36.05174477704847,MALTS,1024,36.05174477704847
11,54.30108026485523,BART,1024,54.30108026485523
12,87.30645485369766,Causal Forest,1024,87.30645485369766
13,327.5364415890346,Propensity Score,1024,327.5364415890346
14,106.27746627721521,Prognostic Score,1024,106.27746627721521
15,26.606616415866952,MALTS,2048,26.606616415866952
16,39.45488850627529,BART,2048,39.45488850627529
17,78.72948242194417,Causal Forest,2048,78.72948242194417
18,275.56249352381445,Propensity Score,2048,275.56249352381445
19,79.06529836631229,Prognostic Score,2048,79.06529836631229
20,21.643378576880067,MALTS,4096,21.643378576880067
21,25.905892142274684,BART,4096,25.905892142274684
22,67.44024688929106,Causal Forest,4096,67.44024688929106
23,278.9381203774118,Propensity Score,4096,278.9381203774118
24,66.26724933276253,Prognostic Score,4096,66.26724933276253
25,19.802088318805314,MALTS,8192,19.802088318805314
26,17.145087910754302,BART,8192,17.145087910754302
27,51.86968793363835,Causal Forest,8192,51.86968793363835
28,295.30614712160934,Propensity Score,8192,295.30614712160934
29,58.9727583080494,Prognostic Score,8192,58.9727583080494
